epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2136,0.99533,4.30342,1.09671,0.01527,0.53685,0.05836,0.04492,0.63598,3.99827,0.85053,5.85937e-05,5.85937e-05,5.85937e-05
2,58.8664,0.76535,3.77413,0.96522,0.01567,0.6646,0.16345,0.12496,0.62411,3.7027,0.79401,0.000120694,0.000120694,0.000120694
3,87.4287,0.73728,2.94784,0.93905,0.96836,0.08883,0.21305,0.17335,0.67057,2.99374,0.79349,0.000182382,0.000182382,0.000182382
4,115.98,0.73067,2.3841,0.90049,0.60898,0.23917,0.26305,0.21219,0.7198,2.00343,0.78961,0.000243657,0.000243657,0.000243657
5,144.383,0.76722,2.12319,0.94667,0.7055,0.35493,0.28611,0.23052,0.70002,1.76985,0.79844,0.00030452,0.00030452,0.00030452
6,173.805,0.7116,1.90966,0.91487,0.68474,0.39717,0.33426,0.25255,0.70232,1.6563,0.81657,0.000364971,0.000364971,0.000364971
7,203.011,0.70455,1.72635,0.92185,0.61307,0.52334,0.46159,0.34444,0.6636,1.47191,0.84314,0.000425009,0.000425009,0.000425009
8,232.23,0.70607,1.63148,0.93202,0.74192,0.55561,0.50048,0.40895,0.66626,1.13694,0.86057,0.000484634,0.000484634,0.000484634
9,260.647,0.65418,1.47254,0.92543,0.72994,0.59012,0.50712,0.42676,0.61646,1.05031,0.85832,0.000543847,0.000543847,0.000543847
10,288.93,0.67216,1.34952,0.91544,0.69774,0.57539,0.55398,0.45071,0.61097,1.06032,0.85243,0.000602647,0.000602647,0.000602647
11,317.501,0.64636,1.25185,0.90213,0.8017,0.58583,0.58699,0.49501,0.58241,0.99323,0.83039,0.000604375,0.000604375,0.000604375
12,345.871,0.64667,1.17121,0.91069,0.65841,0.62968,0.59417,0.49175,0.60197,0.93548,0.85362,0.000602312,0.000602312,0.000602312
13,374.133,0.60956,1.10647,0.90687,0.58836,0.68582,0.61724,0.51425,0.56924,0.94597,0.84976,0.00060025,0.00060025,0.00060025
14,402.98,0.64951,1.12471,0.91415,0.60582,0.71043,0.64178,0.52834,0.59804,0.91892,0.86174,0.000598187,0.000598187,0.000598187
15,432.201,0.61234,1.01022,0.89381,0.87042,0.58041,0.66968,0.54806,0.58012,0.91348,0.85469,0.000596125,0.000596125,0.000596125
16,461.007,0.61075,1.02678,0.90252,0.80296,0.72264,0.73655,0.61755,0.54543,0.81405,0.84914,0.000594062,0.000594062,0.000594062
17,490.085,0.59318,0.99795,0.88445,0.89997,0.74596,0.78887,0.62601,0.65165,0.79807,0.86369,0.000592,0.000592,0.000592
18,518.477,0.59626,0.92461,0.89329,0.91633,0.75277,0.82215,0.69083,0.53351,0.76977,0.84641,0.000589938,0.000589938,0.000589938
19,546.955,0.64041,0.94853,0.91258,0.84756,0.74645,0.79994,0.66653,0.59214,0.82291,0.84706,0.000587875,0.000587875,0.000587875
20,575.601,0.61189,0.89953,0.87993,0.83826,0.77178,0.8215,0.69594,0.552,0.76046,0.85304,0.000585813,0.000585813,0.000585813
21,603.95,0.61918,0.88181,0.89712,0.89287,0.7595,0.86454,0.75811,0.51495,0.72412,0.84697,0.00058375,0.00058375,0.00058375
22,632.523,0.57626,0.85368,0.89262,0.92873,0.77762,0.93324,0.79576,0.59108,0.72711,0.84358,0.000581687,0.000581687,0.000581687
23,660.932,0.59861,0.78822,0.88377,0.9351,0.77779,0.95098,0.81154,0.52847,0.68332,0.82989,0.000579625,0.000579625,0.000579625
24,690.059,0.56186,0.80097,0.87906,0.88038,0.88579,0.98623,0.84736,0.50007,0.67431,0.8294,0.000577563,0.000577563,0.000577563
25,718.881,0.5686,0.78427,0.87097,0.92059,0.87877,0.96981,0.84082,0.5462,0.66208,0.8357,0.0005755,0.0005755,0.0005755
26,746.991,0.54546,0.76016,0.86735,0.96081,0.86708,0.97166,0.8361,0.55801,0.65991,0.83289,0.000573438,0.000573438,0.000573438
27,775.45,0.55988,0.75923,0.87641,0.95576,0.86652,0.96813,0.85215,0.49008,0.64517,0.83529,0.000571375,0.000571375,0.000571375
28,804.588,0.55083,0.76537,0.87243,0.9638,0.85864,0.97081,0.85374,0.48337,0.63068,0.83592,0.000569313,0.000569313,0.000569313
29,833.382,0.54569,0.72905,0.86596,0.96593,0.8715,0.98127,0.86175,0.49503,0.62481,0.8248,0.00056725,0.00056725,0.00056725
30,861.805,0.5327,0.69249,0.86288,0.96897,0.84294,0.98729,0.85517,0.49939,0.61231,0.81877,0.000565188,0.000565188,0.000565188
31,890.449,0.5363,0.72522,0.8686,0.94196,0.87895,0.98679,0.83571,0.54758,0.62484,0.82684,0.000563125,0.000563125,0.000563125
32,918.747,0.5612,0.73851,0.87168,0.96553,0.89615,0.99125,0.86332,0.49534,0.58891,0.82153,0.000561063,0.000561063,0.000561063
33,948.547,0.52283,0.71254,0.86524,0.96852,0.89349,0.99304,0.86579,0.49682,0.6318,0.82694,0.000559,0.000559,0.000559
34,977.233,0.56865,0.75108,0.86929,0.87812,0.99184,0.98421,0.87052,0.51523,0.6524,0.82068,0.000556938,0.000556938,0.000556938
35,1005.9,0.53557,0.70943,0.85766,0.94904,0.95401,0.98116,0.884,0.48165,0.57586,0.81974,0.000554875,0.000554875,0.000554875
36,1034.83,0.53461,0.66968,0.86284,0.96342,0.93968,0.98533,0.89326,0.44917,0.55403,0.81694,0.000552813,0.000552813,0.000552813
37,1063.56,0.51612,0.6485,0.85481,0.96406,0.94316,0.98902,0.88736,0.45754,0.56192,0.81446,0.00055075,0.00055075,0.00055075
38,1092.13,0.51884,0.68752,0.86151,0.94913,0.98319,0.99034,0.86546,0.49629,0.58632,0.81945,0.000548688,0.000548688,0.000548688
39,1121.09,0.52645,0.70513,0.87956,0.97776,0.94385,0.98662,0.88473,0.46677,0.55112,0.82268,0.000546625,0.000546625,0.000546625
40,1151.73,0.51398,0.6413,0.86099,0.96767,0.94879,0.98736,0.9015,0.44634,0.53512,0.82849,0.000544563,0.000544563,0.000544563
41,1180.34,0.52451,0.66652,0.86703,0.97421,0.94204,0.98682,0.88942,0.49373,0.54425,0.82363,0.0005425,0.0005425,0.0005425
42,1208.86,0.49555,0.63636,0.85682,0.97308,0.94216,0.98657,0.87602,0.45432,0.54014,0.81564,0.000540438,0.000540438,0.000540438
43,1237.15,0.50417,0.62838,0.85891,0.9496,0.94617,0.97924,0.86235,0.49269,0.55705,0.81031,0.000538375,0.000538375,0.000538375
44,1265.76,0.53001,0.63808,0.8623,0.92782,0.97402,0.98443,0.8885,0.43633,0.54,0.80633,0.000536313,0.000536313,0.000536313
45,1293.89,0.52834,0.63946,0.85878,0.9509,0.98284,0.99261,0.90614,0.42768,0.52573,0.81228,0.00053425,0.00053425,0.00053425
46,1322.55,0.49128,0.61367,0.84911,0.95786,0.97666,0.9923,0.87504,0.49608,0.55918,0.81579,0.000532187,0.000532187,0.000532187
47,1352.16,0.51457,0.65476,0.85717,0.95954,0.98089,0.99271,0.89794,0.42493,0.53173,0.81336,0.000530125,0.000530125,0.000530125
48,1380.86,0.51532,0.61138,0.85379,0.96681,0.98608,0.99252,0.89222,0.42803,0.50622,0.81447,0.000528062,0.000528062,0.000528062
49,1409.6,0.49435,0.59562,0.85138,0.94449,0.98868,0.99091,0.87818,0.45199,0.51587,0.8172,0.000526,0.000526,0.000526
50,1438.34,0.48575,0.61509,0.85948,0.94449,0.98256,0.9933,0.89293,0.44395,0.50275,0.81332,0.000523937,0.000523937,0.000523937
51,1467.5,0.47464,0.57675,0.84284,0.95323,0.97443,0.98902,0.90512,0.44066,0.5067,0.81394,0.000521875,0.000521875,0.000521875
52,1496.03,0.50011,0.59246,0.85361,0.97801,0.95095,0.99276,0.91775,0.42992,0.50395,0.81908,0.000519812,0.000519812,0.000519812
53,1524.39,0.49638,0.60629,0.85433,0.98447,0.94516,0.99413,0.91009,0.4437,0.49331,0.82532,0.00051775,0.00051775,0.00051775
54,1552.78,0.50521,0.6058,0.85575,0.97542,0.94531,0.99388,0.87718,0.48134,0.50509,0.82727,0.000515688,0.000515688,0.000515688
55,1582.38,0.48406,0.58247,0.85909,0.96105,0.98724,0.9933,0.87509,0.52371,0.52332,0.83068,0.000513625,0.000513625,0.000513625
56,1611.09,0.49639,0.57622,0.8541,0.9855,0.96422,0.99007,0.90406,0.41975,0.49293,0.82073,0.000511562,0.000511562,0.000511562
57,1639.91,0.5138,0.59536,0.869,0.96781,0.96988,0.98998,0.89984,0.44215,0.49174,0.81611,0.0005095,0.0005095,0.0005095
58,1668.75,0.52652,0.58376,0.86369,0.9809,0.95574,0.99236,0.86864,0.51298,0.48395,0.82038,0.000507438,0.000507438,0.000507438
59,1697.48,0.51263,0.60878,0.86105,0.96155,0.98818,0.99396,0.90639,0.39849,0.47184,0.81183,0.000505375,0.000505375,0.000505375
60,1725.99,0.51358,0.6115,0.85956,0.96038,0.98479,0.99392,0.915,0.41737,0.48815,0.81138,0.000503313,0.000503313,0.000503313
61,1754.75,0.48787,0.58168,0.84419,0.96795,0.98037,0.99373,0.89742,0.51449,0.50199,0.82344,0.00050125,0.00050125,0.00050125
62,1784.99,0.48228,0.5673,0.85995,0.97521,0.96198,0.99347,0.91311,0.42503,0.47913,0.81572,0.000499187,0.000499187,0.000499187
63,1813.28,0.46027,0.5588,0.84507,0.98297,0.95529,0.99317,0.89829,0.46439,0.47563,0.81777,0.000497125,0.000497125,0.000497125
64,1841.84,0.47236,0.53037,0.8457,0.98178,0.95496,0.9927,0.88134,0.47088,0.47808,0.81597,0.000495063,0.000495063,0.000495063
65,1870.47,0.47813,0.57593,0.8512,0.96238,0.98976,0.99449,0.89348,0.4313,0.44774,0.81395,0.000493,0.000493,0.000493
66,1899.2,0.47685,0.55254,0.8562,0.96886,0.99583,0.99466,0.89672,0.42979,0.44525,0.80915,0.000490937,0.000490937,0.000490937
67,1927.4,0.45454,0.5181,0.84029,0.97379,0.9934,0.99456,0.88267,0.45294,0.45953,0.80511,0.000488875,0.000488875,0.000488875
68,1955.8,0.4729,0.56437,0.84511,0.9835,0.98709,0.99447,0.88105,0.41199,0.45168,0.80514,0.000486812,0.000486812,0.000486812
69,1984.51,0.45777,0.54285,0.84273,0.98492,0.98628,0.99403,0.89842,0.40598,0.45365,0.81123,0.00048475,0.00048475,0.00048475
70,2012.97,0.46794,0.55192,0.84954,0.98305,0.98802,0.9943,0.89557,0.44868,0.45725,0.8146,0.000482687,0.000482687,0.000482687
71,2041.5,0.47435,0.53851,0.86025,0.97615,0.98369,0.99451,0.90781,0.42298,0.47264,0.81572,0.000480625,0.000480625,0.000480625
72,2070.75,0.47474,0.54778,0.85152,0.97198,0.99128,0.99465,0.89902,0.41897,0.456,0.8168,0.000478562,0.000478562,0.000478562
73,2100.27,0.46789,0.52816,0.83231,0.97995,0.98447,0.99454,0.90468,0.41389,0.43347,0.81522,0.0004765,0.0004765,0.0004765
74,2128.72,0.47452,0.56413,0.8441,0.96762,0.98205,0.99379,0.87495,0.43869,0.45019,0.81905,0.000474437,0.000474437,0.000474437
75,2157.27,0.48594,0.53627,0.84386,0.96933,0.98041,0.99115,0.89696,0.41535,0.47161,0.81752,0.000472375,0.000472375,0.000472375
76,2185.6,0.47829,0.55053,0.85087,0.96525,0.99124,0.99211,0.88194,0.47179,0.46583,0.82122,0.000470312,0.000470312,0.000470312
77,2214.21,0.47048,0.52234,0.8541,0.96248,0.98749,0.99467,0.8987,0.42777,0.44419,0.81538,0.00046825,0.00046825,0.00046825
78,2242.66,0.49456,0.53978,0.86062,0.96588,0.99744,0.9936,0.91263,0.38687,0.43639,0.81026,0.000466188,0.000466188,0.000466188
79,2272.07,0.43979,0.5241,0.83975,0.95307,0.99329,0.99199,0.90115,0.41609,0.43786,0.81431,0.000464125,0.000464125,0.000464125
80,2300.32,0.44225,0.49616,0.83125,0.96609,0.98892,0.99362,0.89812,0.42473,0.4189,0.81653,0.000462063,0.000462063,0.000462063
81,2328.12,0.42687,0.49054,0.82895,0.97113,0.98383,0.99398,0.90206,0.42775,0.41531,0.81699,0.00046,0.00046,0.00046
82,2356.47,0.45984,0.52758,0.84715,0.97247,0.98498,0.99422,0.90899,0.40439,0.42265,0.81451,0.000457938,0.000457938,0.000457938
83,2384.45,0.43865,0.51203,0.84179,0.9734,0.98538,0.99347,0.91077,0.44187,0.43533,0.81781,0.000455875,0.000455875,0.000455875
84,2414.3,0.44795,0.48848,0.83195,0.96479,0.98475,0.99397,0.91482,0.42762,0.43465,0.8167,0.000453813,0.000453813,0.000453813
85,2442.48,0.46095,0.53752,0.85128,0.97326,0.98055,0.99403,0.9064,0.41282,0.42203,0.81804,0.00045175,0.00045175,0.00045175
86,2471.05,0.4746,0.52722,0.84763,0.96927,0.98233,0.9945,0.90658,0.41676,0.41209,0.81571,0.000449688,0.000449688,0.000449688
87,2499.33,0.43754,0.48887,0.8388,0.95548,0.98957,0.99467,0.90738,0.39467,0.41005,0.81584,0.000447625,0.000447625,0.000447625
88,2527.97,0.45392,0.50947,0.83773,0.97468,0.9849,0.99443,0.9109,0.4057,0.42651,0.81389,0.000445562,0.000445562,0.000445562
89,2557.53,0.45539,0.4942,0.84015,0.97729,0.98912,0.9942,0.90753,0.40407,0.43167,0.81296,0.0004435,0.0004435,0.0004435
90,2586.04,0.44889,0.48064,0.84172,0.98138,0.9897,0.99467,0.91435,0.38159,0.40365,0.81255,0.000441438,0.000441438,0.000441438
91,2614.48,0.4365,0.4666,0.8369,0.96914,0.9858,0.99435,0.91004,0.40316,0.40889,0.81215,0.000439375,0.000439375,0.000439375
92,2643.17,0.45596,0.50062,0.84105,0.97431,0.97836,0.99435,0.9179,0.38077,0.41139,0.81063,0.000437312,0.000437312,0.000437312
93,2671.45,0.46756,0.51287,0.85157,0.97364,0.99252,0.99435,0.90925,0.40814,0.40352,0.81138,0.00043525,0.00043525,0.00043525
94,2700.18,0.46419,0.48111,0.84505,0.9675,0.98779,0.9948,0.89795,0.43204,0.40183,0.81212,0.000433187,0.000433187,0.000433187
95,2728.83,0.45735,0.48611,0.84174,0.97767,0.99467,0.99467,0.9083,0.37474,0.39474,0.80874,0.000431125,0.000431125,0.000431125
96,2758.14,0.4423,0.47257,0.84602,0.97755,0.98709,0.99435,0.91598,0.38846,0.40586,0.80915,0.000429063,0.000429063,0.000429063
97,2786.27,0.44329,0.48762,0.83666,0.97376,0.97552,0.99405,0.89996,0.40976,0.39859,0.81163,0.000427,0.000427,0.000427
98,2814.68,0.43193,0.46187,0.83951,0.98015,0.98024,0.99445,0.9065,0.361,0.37873,0.80897,0.000424938,0.000424938,0.000424938
99,2842.89,0.4176,0.45905,0.84158,0.98501,0.99041,0.99467,0.88701,0.39724,0.39052,0.81209,0.000422875,0.000422875,0.000422875
100,2871.31,0.42663,0.47122,0.83775,0.98381,0.98924,0.99466,0.90234,0.38496,0.39392,0.80909,0.000420812,0.000420812,0.000420812
101,2899.76,0.44822,0.47893,0.84087,0.98783,0.98794,0.99467,0.92582,0.35345,0.37017,0.80935,0.00041875,0.00041875,0.00041875
102,2927.8,0.41721,0.4759,0.83046,0.98445,0.98913,0.99449,0.92004,0.40345,0.38291,0.81526,0.000416687,0.000416687,0.000416687
103,2956.3,0.4362,0.47017,0.84583,0.9855,0.98938,0.99432,0.91406,0.36885,0.38078,0.80959,0.000414625,0.000414625,0.000414625
104,2985.09,0.42776,0.45305,0.82999,0.97851,0.99313,0.99449,0.9146,0.35816,0.37244,0.80642,0.000412563,0.000412563,0.000412563
105,3013.73,0.46119,0.48648,0.86023,0.97642,0.99228,0.99449,0.90035,0.40579,0.37672,0.811,0.0004105,0.0004105,0.0004105
106,3042.04,0.41349,0.43932,0.83136,0.98048,0.99357,0.99409,0.909,0.37987,0.36698,0.8099,0.000408438,0.000408438,0.000408438
107,3070.92,0.43108,0.46051,0.8381,0.98074,0.99374,0.99379,0.90768,0.38957,0.37934,0.81114,0.000406375,0.000406375,0.000406375
108,3099.11,0.43659,0.45653,0.84124,0.98356,0.98337,0.99409,0.90854,0.3839,0.36934,0.81031,0.000404313,0.000404313,0.000404313
109,3127.67,0.42624,0.4625,0.83118,0.98611,0.98766,0.99435,0.90325,0.38351,0.36678,0.81285,0.00040225,0.00040225,0.00040225
110,3156.24,0.42069,0.44567,0.84484,0.96823,0.99227,0.99466,0.90625,0.37995,0.36837,0.81152,0.000400188,0.000400188,0.000400188
111,3185.2,0.44758,0.4627,0.84873,0.96698,0.97879,0.99478,0.91727,0.40199,0.37723,0.81393,0.000398125,0.000398125,0.000398125
112,3215.21,0.44244,0.4547,0.8444,0.95563,0.9889,0.99412,0.92529,0.36101,0.38108,0.8132,0.000396063,0.000396063,0.000396063
113,3243.79,0.44225,0.47688,0.84545,0.96119,0.98116,0.99413,0.92798,0.35814,0.3781,0.8115,0.000394,0.000394,0.000394
114,3272.41,0.45179,0.48529,0.85011,0.98059,0.99126,0.9944,0.92186,0.36836,0.37794,0.8078,0.000391937,0.000391937,0.000391937
115,3300.83,0.42182,0.44201,0.83678,0.98518,0.98901,0.99444,0.90475,0.38662,0.37452,0.80842,0.000389875,0.000389875,0.000389875
116,3329.46,0.42077,0.43663,0.83104,0.98646,0.99078,0.99445,0.90233,0.39797,0.37315,0.81099,0.000387813,0.000387813,0.000387813
117,3357.89,0.39429,0.42019,0.8282,0.9871,0.98547,0.99428,0.90252,0.41505,0.38117,0.81358,0.00038575,0.00038575,0.00038575
118,3386.73,0.45172,0.46095,0.84293,0.98408,0.99026,0.9946,0.90112,0.39187,0.38048,0.81115,0.000383688,0.000383688,0.000383688
119,3414.77,0.42731,0.45749,0.8314,0.98131,0.98897,0.99462,0.90452,0.37974,0.36968,0.8107,0.000381625,0.000381625,0.000381625
120,3443.08,0.43044,0.45579,0.84176,0.97791,0.98864,0.99398,0.89552,0.41471,0.36758,0.81265,0.000379562,0.000379562,0.000379562
121,3471.75,0.40002,0.44139,0.83479,0.98334,0.98816,0.99467,0.91836,0.38394,0.36307,0.81054,0.0003775,0.0003775,0.0003775
122,3500.4,0.40303,0.42525,0.82565,0.98782,0.98981,0.99467,0.93347,0.35218,0.35869,0.81097,0.000375438,0.000375438,0.000375438
123,3528.77,0.40789,0.42933,0.833,0.98472,0.98964,0.99467,0.92942,0.41861,0.37671,0.8204,0.000373375,0.000373375,0.000373375
124,3557.38,0.45065,0.47979,0.85528,0.97897,0.99428,0.99466,0.93518,0.35847,0.35556,0.8165,0.000371313,0.000371313,0.000371313
125,3585.56,0.42712,0.43493,0.84501,0.97539,0.9951,0.99466,0.92147,0.36538,0.35622,0.81377,0.00036925,0.00036925,0.00036925
126,3613.91,0.39784,0.41693,0.83152,0.9763,0.99145,0.99449,0.92354,0.36012,0.36322,0.81091,0.000367187,0.000367187,0.000367187
127,3642,0.39277,0.42685,0.82652,0.98287,0.98605,0.9948,0.92701,0.34836,0.34998,0.8092,0.000365125,0.000365125,0.000365125
128,3670.39,0.40132,0.41183,0.82992,0.98099,0.9889,0.99467,0.92614,0.34155,0.34533,0.80905,0.000363062,0.000363062,0.000363062
129,3699.64,0.42139,0.42143,0.84132,0.97643,0.98753,0.99448,0.93428,0.35214,0.34478,0.80892,0.000361,0.000361,0.000361
130,3728.01,0.39102,0.40561,0.8313,0.9826,0.99162,0.99467,0.92543,0.38063,0.34922,0.80771,0.000358938,0.000358938,0.000358938
131,3756.13,0.42219,0.43803,0.83023,0.98549,0.99206,0.99467,0.91928,0.35576,0.35243,0.80501,0.000356875,0.000356875,0.000356875
132,3784.52,0.40081,0.42262,0.82912,0.98458,0.99444,0.99453,0.90789,0.38274,0.35057,0.80647,0.000354812,0.000354812,0.000354812
133,3812.89,0.39431,0.40378,0.83391,0.98052,0.99206,0.99453,0.9086,0.37016,0.33915,0.80709,0.00035275,0.00035275,0.00035275
134,3841.14,0.38793,0.39738,0.82093,0.9796,0.99042,0.9944,0.92627,0.34235,0.33023,0.80618,0.000350687,0.000350687,0.000350687
135,3869.66,0.3952,0.40335,0.81717,0.97133,0.99416,0.99453,0.92889,0.34665,0.33098,0.80583,0.000348625,0.000348625,0.000348625
136,3898.09,0.41192,0.41489,0.82505,0.97419,0.99586,0.99487,0.93198,0.34723,0.33027,0.8049,0.000346563,0.000346563,0.000346563
137,3926.47,0.37715,0.39611,0.83185,0.98233,0.98059,0.99467,0.94071,0.34001,0.32567,0.80623,0.0003445,0.0003445,0.0003445
